Function;MedianDuration
0ab944f5c72a4b9f807931d23f704cfaf8296477f3c4a64fe77807280fcd5c6c;886277.0
1e5bfcc662ff982b62ca347d1058f43780275234da00b4b5162e6a887d82a56a;650456.0
d3209b753752c8641cde05ba81b3ceb0d175b1f986fee7872a9368cd16d18120;644505.0
c823dcdfc0ab299002e60a31f49104374092f7eea08f96924a43773c3c88810e;621248.0
8918991f477ce8d504eafdeb6809d27170a2b4c254d63a52b962cea7a887958c;606564.0
5b9563e1878ff45110079ddb9de1c2fa45298d13286ea8d3f9a7e0224ce1ef6f;602960.0
8d9e184e0f7c4ce390a32cc7054f939d20d2506fad15db0829ae69a6ebe398f9;602910.0
202f6b87224029961f0cc9bb228e64799b3685377bd4f536e057ec7c232b6166;600964.0
08212e152171aee8b53b4a1ff8e94a2d103612f2a525e1f0a5bef4d787a3b0c9;600876.0
347418b63cb68624742601bf42f5c1f0a567e4e9553bc2df02b910102341051f;600536.5
